Brand,Name,Description,Price,Discount,Product URL,Image
Opalescence,Whitening,bělicí zubní pasta s fluoridem,99,,https://www.notino.cz/opalescence/original-formula-belici-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//opalescence/883205029492_01-o__160127.jpg
Opalescence,Whitening Sensitivity Relief,bělicí pasta pro citlivé zuby,96,,https://www.notino.cz/opalescence/sensitivity-relief-belici-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//opalescence/883205029430_01-o__160513.jpg
GC,Tooth Mousse,remineralizační ochranný krém pro citlivé zuby bez fluoridu,437,,https://www.notino.cz/gc/tooth-mousse-tutti-frutti-remineralizacni-ochranny-krem-pro-citlive-zuby-bez-fluoridu/,https://cdn.notinoimg.com/list_2k//gc/2800011949248_01-o__160324.jpg
MEDIBLANC,Whitening,zubní pasta s bělicím účinkem,193,,https://www.notino.cz/mediblanc/whitening-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//mediblanc/3760275386502-o__221107.jpg
Elmex,Junior 6-12 Years,zubní pasta pro děti,94,,https://www.notino.cz/elmex/junior-6-12-years-zubni-pasta-pro-deti-73188/,https://cdn.notinoimg.com/list_2k//elmex/9003096004991_01-o__140313.jpg
Marvis,The Mints Aquatic,zubní pasta,104,- 15 % na Marvis při nákupu 2 ks,https://www.notino.cz/marvis/aquatic-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111725_01-o__171120.jpg
Ziaja,Mintperfekt Activ,remineralizující zubní pasta 75 ml,48,,https://www.notino.cz/ziaja/mintperfekt-activ-remineralizujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ziaja/5901887039921-o__170327.jpg
Oral B,Pro Expert Healthy Whitening,bělicí zubní pasta 75 ml,71,-20 % s kódem mix20,https://www.notino.cz/oral-b/pro-expert-healthy-whitening-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//oral-b/8700216106788_01-o__230904.jpg
Splat,Professional White Plus,bioaktivní zubní pasta pro šetrné bělení a ochranu zubní skloviny 100 ml,123,,https://www.notino.cz/splat/professional-white-plus-bioaktivni-zubni-pasta-pro-setrne-beleni-a-ochranu-zubni-skloviny/,https://cdn.notinoimg.com/list_2k//splat/7640168930134_01-o__220908.jpg
MEDIBLANC,Whitening Herbal,bylinná zubní pasta s bělicím účinkem,325,,https://www.notino.cz/mediblanc/whitening-herbal-bylinna-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300538166-o__221027.jpg
GC,MI Paste Plus,remineralizační ochranný krém pro citlivé zuby s fluoridem,461,,https://www.notino.cz/gc/mi-paste-plus-strawberry-remineralizacni-ochranny-krem-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//gc/2800011987264_01-o__160323.jpg
White Glo,Charcoal,bělicí zubní pasta s aktivním uhlím na cesty 24 g,19,,https://www.notino.cz/white-glo/charcoal-belici-zubni-pasta-s-aktivnim-uhlim-na-cesty/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000974_01-o__210524.jpg
Curaprox,Travel Set,"cestovní set Blue(na zuby, jazyk a dásně)",257,,https://www.notino.cz/curaprox/travel-set-cestovni-setna-zuby-jazyk-a-dasne/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429879_01-o__220520.jpg
Natura Siberica,Natural Siberian Siberian Pearl,bělicí zubní pasta pro svěží dech 100 g,77,,https://www.notino.cz/natura-siberica/natural-siberian-siberian-pearl-belici-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174437548_01-o__190611.jpg
Swissdent,Crystal Repair and Whitening,remineralizační zubní pasta s bělicím účinkem 50 ml,305,,https://www.notino.cz/swissdent/crystal-repair-and-whitening-remineralizacni-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190686_01-o__230711.jpg
Ecodenta,Expert Black Whitening,černá bělicí zubní pasta bez fluoridu,130,,https://www.notino.cz/ecodenta/extra-cerna-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001336991_01-o__160825.jpg
Signal,White Now Time Correct,zubní pasta 75 ml,99,,https://www.notino.cz/signal/white-now-time-correct-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/8720181327186_01-o__230503.jpg
Biorepair,Kids 0-6,zubní pasta pro děti pro obnovení zubní skloviny,55,,https://www.notino.cz/biorepair/junior-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//biorepair/8017331069202_01-o__210205.jpg
Splat,Professional Biocalcium,bioaktivní zubní pasta pro obnovu zubní skloviny a šetrné bělení 100 g,117,,https://www.notino.cz/splat/professional-biocalcium-bioaktivni-zubni-pasta-pro-obnovu-zubni-skloviny-a-setrne-beleni/,https://cdn.notinoimg.com/list_2k//splat/7640168930059_01-o__220908.jpg
Natura Siberica,Polar Night,černá bělicí zubní pasta 100 g,78,,https://www.notino.cz/natura-siberica/polar-night-cerna-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174432253_01-o__180801.jpg
Natura Siberica,Kamchatkan Mineral,přírodní zubní pasta 100 g,77,,https://www.notino.cz/natura-siberica/kamchatkan-mineral-prirodni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174437579_01-o__180801.jpg
Curaprox,Be You,regenerační zubní pasta s bělicím účinkem,240,,https://www.notino.cz/curaprox/be-you-rising-star-regeneracni-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429503_01-o__220225.jpg
Elmex,Sensitive Whitening,pasta pro přirozeně bílé zuby,112,,https://www.notino.cz/elmex/sensitive-whitening-pasta-pro-prirozene-bile-zuby-73519/,https://cdn.notinoimg.com/list_2k//elmex/8714789899299_01-o__140528.jpg
Swissdent,Extreme Whitening,intenzivní bělicí zubní pasta 50 ml,283,,https://www.notino.cz/swissdent/extreme-zubni-pasta/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190303_01-o__121205.jpg
Colgate,Max White Sparkle Diamonds,bělicí zubní pasta s fluoridem Spearmint 75 ml,55,,https://www.notino.cz/colgate/max-white-sparkle-diamonds-belici-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//colgate/8718951314795_01-o__200402.jpg
Biorepair,Total Protective Repair,pasta obnovující zubní sklovinu,95,,https://www.notino.cz/biorepair/total-protective-repair-posilujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//biorepair/8017331048429_01-o__220811.jpg
Elmex,Caries Protection Kids,zubní pasta pro děti,86,,https://www.notino.cz/elmex/caries-protection-kids-zubni-pasta-pro-deti-73190/,https://cdn.notinoimg.com/list_2k//elmex/7610108056354_01-o__230215.jpg
Sensodyne,Repair & Protect,zubní pasta pro citlivé zuby,152,,https://www.notino.cz/sensodyne/repair-protect-zubni-pasta-pro-citlive-zuby-73385/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103567_01-o__210908.jpg
Curaprox,Enzycal 1450,zubní pasta 1450 ppm 75 ml,159,,https://www.notino.cz/curaprox/enzycal-1450-zubni-pasta/,https://cdn.notinoimg.com/list_2k//curaprox/7612412070002_01-o__141218.jpg
Elmex,Caries Protection,zubní pasta chránící před zubním kazem s fluoridem,132,,https://www.notino.cz/elmex/caries-protection-zubni-pasta-chranici-pred-zubnim-kazem-s-fluoridem-73186/,https://cdn.notinoimg.com/list_2k//elmex/4007965560002_11-o__140311.jpg
White Glo,Professional Choice,bělicí zubní pasta na cesty 24 g,18,,https://www.notino.cz/white-glo/professional-choice-belici-zubni-pasta-na-cesty/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000189_01-o__210524.jpg
Jack N’ Jill,Natural,přírodní zubní pasta pro děti,126,,https://www.notino.cz/jack-n-jill/natural-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//jack-n-jill/9312657009017_01-o__230602.jpg
Natura Siberica,Natural Siberian 7 Northern Herbs,zubní pasta proti krvácení dásní 100 g,90,,https://www.notino.cz/natura-siberica/natura-siberica-natural-siberian-7-northern-herbs-zubni-pasta-proti-krvaceni-dasni/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174437531_01-o__190709.jpg
Biorepair,Fast Sensitive Repair,bioaktivní pasta pro snížení citlivosti zubů a obnovení zubní skloviny 75 ml,106,,https://www.notino.cz/biorepair/fast-sensitive-repair-zubni-pasta/,https://cdn.notinoimg.com/list_2k//biorepair/8017331048443_01-o__220811.jpg
Marvis,The Mints Jasmin,zubní pasta,93,- 15 % na Marvis při nákupu 2 ks,https://www.notino.cz/marvis/jasmin-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111756_01-o__171120.jpg
Ecodenta,Expert Triple Force,zubní pasta bez fluoridu s trojím účinkem 100 ml,88,-20 % s kódem beeweek,https://www.notino.cz/ecodenta/extra-zubni-pasta-s-trojim-ucinkem/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001331903_01-o__160825.jpg
Elmex,Sensitive,sada zubní péče (pro citlivé zuby),215,,https://www.notino.cz/elmex/sensitive-plus-kosmeticka-sada-i/,https://cdn.notinoimg.com/list_2k//elmex/8714789994208_01-o__240223.jpg
Parodontax,Ultra Clean,zubní pasta proti krvácení dásní a parodontóze 75 ml,97,,https://www.notino.cz/parodontax/ultra-clean-zubni-pasta-proti-krvaceni-dasni-a-parodontoze/,https://cdn.notinoimg.com/list_2k//parodontax/5054563011251_01-o__160422.jpg
Curaprox,Limited Edition Black is White,"cestovní sada (na zuby, jazyk a dásně)",383,,https://www.notino.cz/curaprox/limited-edition-black-is-white-cestovni-sadana-zuby-jazyk-a-dasne/,https://cdn.notinoimg.com/list_2k//curaprox/7612412430332_01__231211.jpg
Ecodenta,Sensitive Whitening,bělicí zubní pasta pro citlivé zuby 100 ml,103,,https://www.notino.cz/ecodenta/expert-black-whitening-belici-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001003206_01-o__210809.jpg
Sensodyne,Extra Whitening,bělicí zubní pasta s fluoridem pro citlivé zuby,204,,https://www.notino.cz/sensodyne/extra-whitening-belici-zubni-pasta-s-fluoridem-pro-citlive-zuby-394207/,https://cdn.notinoimg.com/list_2k//sensodyne/2000009007572_01-o__210908.jpg
Marvis,The Mints Anise,zubní pasta,93,- 15 % na Marvis při nákupu 2 ks,https://www.notino.cz/marvis/marvis-anise-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111879_01-o__190911.jpg
Biorepair,Junior 6-12,dětská zubní pasta Mint 75 ml,96,,https://www.notino.cz/biorepair/junior-detska-zubni-pasta-bez-fluoridu/,https://cdn.notinoimg.com/list_2k//biorepair/8017331054093_01-o__220310.jpg
Colgate,Max Fresh Cooling Crystals,bělicí zubní pasta 75 ml,48,,https://www.notino.cz/colgate/max-fresh-cooling-crystals-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951313255_01-o__220524.jpg
Splat,Professional Medical Herbs,bioaktivní zubní pasta pro ochranu zubů a dásní 100 g,97,,https://www.notino.cz/splat/professional-medical-herbs-bioaktivni-zubni-pasta-pro-ochranu-zubu-a-dasni/,https://cdn.notinoimg.com/list_2k//splat/7640168930097_01-o__220908.jpg
Biorepair,Advanced Intensive Night,intenzivní noční péče pro obnovení zubní skloviny,139,,https://www.notino.cz/biorepair/intensive-night-repair-nocni-pece/,https://cdn.notinoimg.com/list_2k//biorepair/8017331064092_01-o__130724.jpg
Weleda,Dental Care,dětský zubní gel 50 ml,122,,https://www.notino.cz/weleda/dental-care-detsky-zubni-gel/,https://cdn.notinoimg.com/list_2k//weleda/4001638081863_01-o__121109.jpg
